,ID,Genres
0,284921427,Games
0,284921427,Strategy
0,284921427,Puzzle
1,284926400,Games
1,284926400,Strategy
1,284926400,Board
2,284946595,Games
2,284946595,Board
2,284946595,Strategy
3,285755462,Games
3,285755462,Strategy
3,285755462,Puzzle
4,285831220,Games
4,285831220,Strategy
4,285831220,Board
4,285831220,Education
5,286210009,Games
5,286210009,Entertainment
5,286210009,Strategy
5,286210009,Puzzle
6,286313771,Games
6,286313771,Entertainment
6,286313771,Puzzle
6,286313771,Strategy
7,286363959,Games
7,286363959,Strategy
7,286363959,Board
8,286566987,Games
8,286566987,Strategy
8,286566987,Board
8,286566987,Entertainment
9,286682679,Games
9,286682679,Casual
9,286682679,Strategy
10,287563734,Games
10,287563734,Entertainment
10,287563734,Strategy
10,287563734,Puzzle
11,288096268,Games
11,288096268,Puzzle
11,288096268,Strategy
12,288669794,Games
12,288669794,Strategy
12,288669794,Entertainment
13,288689440,Games
13,288689440,Puzzle
13,288689440,Strategy
14,288918962,Games
14,288918962,Puzzle
14,288918962,Strategy
14,288918962,Entertainment
15,289217958,Games
15,289217958,Strategy
15,289217958,Board
16,289382458,Games
16,289382458,Board
16,289382458,Strategy
17,290493286,Games
17,290493286,Puzzle
17,290493286,Strategy
18,290614255,Games
18,290614255,Strategy
18,290614255,Puzzle
18,290614255,Entertainment
19,291074572,Games
19,291074572,Strategy
19,291074572,Entertainment
19,291074572,Board
20,291723451,Entertainment
20,291723451,Games
20,291723451,Casual
20,291723451,Strategy
21,291894818,Games
21,291894818,Puzzle
21,291894818,Education
21,291894818,Strategy
22,291929815,Games
22,291929815,Board
22,291929815,Entertainment
22,291929815,Strategy
23,292242592,Games
23,292242592,Puzzle
23,292242592,Entertainment
23,292242592,Strategy
24,292274288,Games
24,292274288,Strategy
24,292274288,Puzzle
25,292421271,Games
25,292421271,Entertainment
25,292421271,Action
25,292421271,Strategy
26,292538570,Games
26,292538570,Entertainment
26,292538570,Strategy
26,292538570,Board
27,292975610,Games
27,292975610,Board
27,292975610,Entertainment
27,292975610,Strategy
28,294166538,Games
28,294166538,Strategy
28,294166538,Card
28,294166538,Entertainment
29,294193726,Games
29,294193726,Strategy
29,294193726,Entertainment
29,294193726,Puzzle
30,294596096,Games
30,294596096,Card
30,294596096,Strategy
