,ID,Languages
0,284921427,DA
0,284921427,NL
0,284921427,EN
0,284921427,FI
0,284921427,FR
0,284921427,DE
0,284921427,IT
0,284921427,JA
0,284921427,KO
0,284921427,NB
0,284921427,PL
0,284921427,PT
0,284921427,RU
0,284921427,ZH
0,284921427,ES
0,284921427,SV
0,284921427,ZH
1,284926400,EN
2,284946595,EN
3,285755462,DA
3,285755462,NL
3,285755462,EN
3,285755462,FI
3,285755462,FR
3,285755462,DE
3,285755462,IT
3,285755462,JA
3,285755462,KO
3,285755462,NB
3,285755462,PL
3,285755462,PT
3,285755462,RU
3,285755462,ZH
3,285755462,ES
3,285755462,SV
3,285755462,ZH
4,285831220,DA
4,285831220,NL
4,285831220,EN
4,285831220,FR
4,285831220,DE
4,285831220,EL
4,285831220,IT
4,285831220,JA
4,285831220,KO
4,285831220,NO
4,285831220,PT
4,285831220,RU
4,285831220,ZH
4,285831220,ES
4,285831220,SV
5,286210009,EN
6,286313771,EN
7,286363959,EN
8,286566987,FR
9,286682679,EN
10,287563734,EN
11,288096268,EN
12,288669794,EN
13,288689440,EN
14,288918962,EN
15,289217958,EN
15,289217958,FR
15,289217958,DE
15,289217958,IT
15,289217958,ES
16,289382458,EN
17,290493286,EN
18,290614255,EN
19,291074572,EN
20,291723451,EN
21,291894818,EN
21,291894818,FR
22,291929815,EN
22,291929815,FR
23,292242592,EN
24,292274288,EN
25,292421271,EN
26,292538570,EN
27,292975610,EN
27,292975610,FR
27,292975610,DE
27,292975610,EL
27,292975610,PT
27,292975610,RU
27,292975610,ZH
27,292975610,ES
28,294166538,EN
29,294193726,DA
29,294193726,NL
29,294193726,EN
29,294193726,FI
29,294193726,FR
29,294193726,DE
29,294193726,IT
29,294193726,JA
29,294193726,KO
29,294193726,NB
29,294193726,PL
29,294193726,PT
29,294193726,RU
29,294193726,ZH
29,294193726,ES
29,294193726,SV
29,294193726,ZH
30,294596096,EN
31,294631172,EN
31,294631172,FR
31,294631172,DE
31,294631172,IT
31,294631172,ES
32,295445501,EN
32,295445501,FR
32,295445501,DE
32,295445501,JA
32,295445501,KO
32,295445501,ZH
33,295462558,EN
34,296183853,DA
34,296183853,NL
34,296183853,EN
34,296183853,FI
34,296183853,FR
34,296183853,DE
34,296183853,IT
34,296183853,JA
34,296183853,KO
34,296183853,NB
34,296183853,PL
34,296183853,PT
34,296183853,RU
34,296183853,ZH
34,296183853,ES
34,296183853,SV
34,296183853,ZH
35,296756437,EN
35,296756437,FR
35,296756437,DE
35,296756437,JA
35,296756437,KO
35,296756437,ZH
36,296853351,EN
37,297558390,EN
38,297643414,EN
39,298748403,EN
40,298908505,EN
41,299139129,EN
41,299139129,JA
42,299471086,EN
43,299631906,EN
44,299813413,DA
44,299813413,NL
44,299813413,EN
44,299813413,FR
44,299813413,DE
44,299813413,IT
44,299813413,NO
44,299813413,NB
44,299813413,PT
44,299813413,ES
